sample_date,site_code,region,phyto_total,phyto_richness
2017-12-20,AP_AMB1,Bowen,9140,23
2018-02-20,AP_AMB1,Bowen,10660,13
2018-08-17,AP_AMB1,Bowen,57390,13
2018-11-17,AP_AMB1,Bowen,2402,17
2019-03-25,AP_AMB1,Bowen,13810,13
2019-05-30,AP_AMB1,Bowen,49190,14
2019-10-14,AP_AMB1,Bowen,86710,9
2020-04-04,AP_AMB1,Bowen,22610,18
2017-11-18,AP_AMB2,Bowen,51960,28
2017-12-20,AP_AMB2,Bowen,2790,19
2018-02-20,AP_AMB2,Bowen,13060,17
2018-08-17,AP_AMB2,Bowen,24970,21
2018-11-17,AP_AMB2,Bowen,1262,14
2019-03-25,AP_AMB2,Bowen,3190,16
2019-05-30,AP_AMB2,Bowen,39230,16
2019-10-14,AP_AMB2,Bowen,26960,14
2020-04-04,AP_AMB2,Bowen,45140,19
2017-11-18,AP_AMB3,Bowen,42170,20
2017-12-20,AP_AMB3,Bowen,3330,16
2018-02-20,AP_AMB3,Bowen,9770,9
2018-08-17,AP_AMB3,Bowen,9410,17
2018-11-17,AP_AMB3,Bowen,1450,13
2019-03-25,AP_AMB3,Bowen,3640,15
2019-05-30,AP_AMB3,Bowen,11300,12
2019-10-14,AP_AMB3,Bowen,21440,11
2020-04-04,AP_AMB3,Bowen,46580,16
2017-11-18,AP_AMB4,Bowen,38650,18
2017-12-20,AP_AMB4,Bowen,51380,22
2018-02-20,AP_AMB4,Bowen,137240,13
2018-08-17,AP_AMB4,Bowen,33030,19
2018-11-17,AP_AMB4,Bowen,873,11
2019-03-25,AP_AMB4,Bowen,58680,15
2019-05-30,AP_AMB4,Bowen,28820,11
2019-10-14,AP_AMB4,Bowen,9630,14
2020-04-04,AP_AMB4,Bowen,49480,16
2017-11-19,AP_AMB5,Bowen,23060,17
2017-12-20,AP_AMB5,Bowen,54560,18
2018-02-20,AP_AMB5,Bowen,10480,9
2018-08-18,AP_AMB5,Bowen,42850,16
2018-11-18,AP_AMB5,Bowen,1890,19
2019-03-26,AP_AMB5,Bowen,106500,13
2019-05-31,AP_AMB5,Bowen,14060,17
2019-10-14,AP_AMB5,Bowen,16800,15
2020-04-04,AP_AMB5,Bowen,1360,6
2017-09-03,MKY_AMB1,Mackay,220,5
2017-10-22,MKY_AMB1,Mackay,11800,22
2017-12-01,MKY_AMB1,Mackay,13380,17
2018-01-31,MKY_AMB1,Mackay,140170,20
2018-08-30,MKY_AMB1,Mackay,23210,11
2019-01-25,MKY_AMB1,Mackay,210550,16
2019-03-14,MKY_AMB1,Mackay,4635,18
2019-09-23,MKY_AMB1,Mackay,11910,13
2020-02-20,MKY_AMB1,Mackay,53130,25
2020-07-12,MKY_AMB1,Mackay,35930,18
2017-09-03,MKY_AMB10,Mackay,950690,6
2017-10-22,MKY_AMB10,Mackay,1670,14
2017-12-01,MKY_AMB10,Mackay,18320,17
2018-01-31,MKY_AMB10,Mackay,51250,21
2018-08-30,MKY_AMB10,Mackay,32050,14
2019-01-25,MKY_AMB10,Mackay,17840,14
2019-03-14,MKY_AMB10,Mackay,14850,16
2019-09-23,MKY_AMB10,Mackay,32280,11
2020-02-20,MKY_AMB10,Mackay,40150,18
2020-07-12,MKY_AMB10,Mackay,99660,9
2017-09-04,MKY_AMB11,Mackay,41990,16
2017-10-21,MKY_AMB11,Mackay,5570,18
2017-12-02,MKY_AMB11,Mackay,120350,22
2018-02-01,MKY_AMB11,Mackay,15510,16
2018-08-30,MKY_AMB11,Mackay,9290,10
2019-01-24,MKY_AMB11,Mackay,68360,12
2019-09-24,MKY_AMB11,Mackay,2890,12
2020-02-19,MKY_AMB11,Mackay,63680,20
2020-07-11,MKY_AMB11,Mackay,6600,11
2017-09-04,MKY_AMB12,Mackay,55190,23
2017-10-21,MKY_AMB12,Mackay,6470,15
2017-12-02,MKY_AMB12,Mackay,10120,18
2018-02-01,MKY_AMB12,Mackay,62440,21
2018-08-30,MKY_AMB12,Mackay,49260,23
2019-01-24,MKY_AMB12,Mackay,11980,14
2019-03-15,MKY_AMB12,Mackay,35890,15
2019-09-24,MKY_AMB12,Mackay,61770,14
2020-02-19,MKY_AMB12,Mackay,28870,19
2020-07-11,MKY_AMB12,Mackay,68330,19
2017-09-03,MKY_AMB2,Mackay,31090,14
2017-10-22,MKY_AMB2,Mackay,13020,17
2017-12-02,MKY_AMB2,Mackay,39370,17
2018-01-31,MKY_AMB2,Mackay,94880,21
2018-08-30,MKY_AMB2,Mackay,100500,10
2019-01-25,MKY_AMB2,Mackay,14120,14
2019-03-14,MKY_AMB2,Mackay,20100,15
2019-09-23,MKY_AMB2,Mackay,172610,12
2020-07-12,MKY_AMB2,Mackay,100860,15
2017-09-04,MKY_AMB3B,Mackay,126960,14
2017-10-21,MKY_AMB3B,Mackay,20550,27
2017-12-02,MKY_AMB3B,Mackay,68320,19
2018-02-01,MKY_AMB3B,Mackay,79160,24
2018-08-31,MKY_AMB3B,Mackay,22470,10
2019-01-24,MKY_AMB3B,Mackay,51510,11
2019-03-16,MKY_AMB3B,Mackay,14150,13
2019-09-24,MKY_AMB3B,Mackay,123840,13
2020-02-19,MKY_AMB3B,Mackay,71400,21
2020-07-11,MKY_AMB3B,Mackay,49730,15
2017-09-04,MKY_AMB5,Mackay,372090,12
2017-10-21,MKY_AMB5,Mackay,4080,13
2017-12-02,MKY_AMB5,Mackay,66910,17
2018-02-01,MKY_AMB5,Mackay,47850,25
2018-08-30,MKY_AMB5,Mackay,13220,10
2019-03-15,MKY_AMB5,Mackay,30070,13
2019-09-24,MKY_AMB5,Mackay,106150,10
2020-02-19,MKY_AMB5,Mackay,23610,13
2020-07-11,MKY_AMB5,Mackay,56720,16
2017-09-04,MKY_AMB6B,Mackay,26010,15
2017-10-21,MKY_AMB6B,Mackay,2470,13
2017-12-02,MKY_AMB6B,Mackay,58450,22
2018-02-01,MKY_AMB6B,Mackay,88550,29
2018-08-30,MKY_AMB6B,Mackay,52360,10
2019-01-24,MKY_AMB6B,Mackay,14780,16
2019-09-24,MKY_AMB6B,Mackay,4380,12
2020-02-19,MKY_AMB6B,Mackay,31030,14
2020-07-11,MKY_AMB6B,Mackay,20540,15
2017-09-04,MKY_AMB8,Mackay,6020,13
2017-10-21,MKY_AMB8,Mackay,13120,18
2017-12-02,MKY_AMB8,Mackay,104090,13
2018-02-01,MKY_AMB8,Mackay,52170,15
2018-08-30,MKY_AMB8,Mackay,26650,13
2019-01-24,MKY_AMB8,Mackay,129950,10
2019-03-15,MKY_AMB8,Mackay,28680,17
2019-09-24,MKY_AMB8,Mackay,41620,14
2020-02-19,MKY_AMB8,Mackay,35900,17
2020-07-11,MKY_AMB8,Mackay,54300,13
2017-09-03,MKY_CAM1,Mackay,30650,17
2017-10-20,MKY_CAM1,Mackay,12960,19
2017-12-03,MKY_CAM1,Mackay,14930,19
2018-08-28,MKY_CAM1,Mackay,33800,17
2017-09-03,MKY_CAM2,Mackay,632080,12
2017-10-20,MKY_CAM2,Mackay,7030,15
2017-12-03,MKY_CAM2,Mackay,10230,19
2018-08-28,MKY_CAM2,Mackay,40770,21
2017-09-03,MKY_CAM3,Mackay,754500,8
2017-10-20,MKY_CAM3,Mackay,4530,18
2017-12-03,MKY_CAM3,Mackay,6980,20
2018-08-28,MKY_CAM3,Mackay,21570,19
2018-03-15,WP_AMB1,Weipa,29060,18
2018-04-19,WP_AMB1,Weipa,103410,22
2018-09-10,WP_AMB1,Weipa,66830,16
2018-11-29,WP_AMB1,Weipa,48985,20
2019-02-27,WP_AMB1,Weipa,28820,19
2019-10-17,WP_AMB1,Weipa,6570,11
2020-03-06,WP_AMB1,Weipa,11680,14
2018-03-16,WP_AMB2,Weipa,68030,27
2018-04-19,WP_AMB2,Weipa,58980,23
2018-09-10,WP_AMB2,Weipa,59590,16
2018-11-29,WP_AMB2,Weipa,44260,25
2019-02-27,WP_AMB2,Weipa,13320,23
2019-10-17,WP_AMB2,Weipa,6850,16
2020-03-05,WP_AMB2,Weipa,17520,12
2018-03-16,WP_AMB3,Weipa,61370,24
2018-04-20,WP_AMB3,Weipa,27590,20
2018-09-10,WP_AMB3,Weipa,38000,18
2018-11-29,WP_AMB3,Weipa,63130,23
2019-02-27,WP_AMB3,Weipa,7830,21
2019-10-18,WP_AMB3,Weipa,66430,12
2020-03-06,WP_AMB3,Weipa,29460,12
2018-03-15,WP_AMB4,Weipa,16790,15
2018-04-19,WP_AMB4,Weipa,33080,19
2018-09-10,WP_AMB4,Weipa,52800,19
2018-11-29,WP_AMB4,Weipa,54850,24
2019-02-27,WP_AMB4,Weipa,12580,20
2019-10-17,WP_AMB4,Weipa,4530,12
2020-03-05,WP_AMB4,Weipa,13340,11
2018-03-15,WP_AMB5,Weipa,32730,15
2018-04-20,WP_AMB5,Weipa,32420,22
2018-09-10,WP_AMB5,Weipa,31350,19
